_id,amount,reasoning
6811b8d5af06ea2cad500b95,N/A,...the total amount of damages to which Plaintiff is entitled is: the minimum statutory award $250 times the number of copyrights violated 2 times the number of customers BPI has obtained.
6811b8d7af06ea2cad500b96,5000,"In view of the nature and extent of the infringement, the Court awards to plaintiff damages in lieu of actual damages of $ 5,000, against the corporate defendant."
6811b8d8af06ea2cad500b97,N/A,"In accordance with the election of remedies made by plaintiff's attorneys at the hearing of the case, the plaintiff shall be awarded statutory damages for copyright infringement as provided by 17 U.S.C. § 504(c), and is entitled as well to injunctive relief under 17 U.S.C. § 502."
6811b8d9af06ea2cad500b98,N/A,"Further, the court finds that plaintiff is not entitled to actual or statutory damages for any act that may be considered an infringement of plaintiff's copyright occurring prior to or after April 5, 1979, which is the effective date of plaintiff's copyright registration. Defendant did not infringe on plaintiff's copyright after April 5, 1979, and statutory damages are precluded by Section 412(1)."
6811b8d9af06ea2cad500b99,10000,"The damage award against Ardith Cavallo will be increased to $ 10,000. 17 U.S.C. § 504(c)(2)."
6811b8daaf06ea2cad500b9a,500,"The Court finds that plaintiff is entitled to statutory damages in the amount of $250.00 for each of the two infringements of its copyright by defendant, or $500.00."
6811b8dbaf06ea2cad500b9b,N/A,"Since plaintiff has elected to recover actual damages and profits rather than statutory damages, the court has no authority to adjust the award."
6811b8dcaf06ea2cad500b9c,N/A,"In a case where the copyright owner sustains the burden of proving, and the court finds, that infringement was committed willfully, the court in its discretion may increase the award of statutory damages to a sum of not more than $ 50,000."" ""Even the statutory damages which can be awarded under § 504(c)(1) are not less than $ 250 and not more than $ 10,000."
6811b8deaf06ea2cad500b9d,1000,"12.  In order to fulfill these purposes of the copyright act, plaintiff is entitled to a statutory damage award in this case of $1,000.00, which amount the Court in its discretion considers just."
6811b8dfaf06ea2cad500b9f,50000,"Lauratex also seeks $ 50,000. in statutory damages under 17 U.S.C. § 504(c)(2), which provides in relevant part:"
6811b8e0af06ea2cad500ba0,N/A,N/A
6811b8e3af06ea2cad500ba2,40000,"Accordingly, in light of the amount of actual damages shown by the plaintiff and the defendants' willful infringement, statutory damages are awarded to the plaintiff in the amount of $ 40,000."
6811b8e4af06ea2cad500ba3,500,"Under the provisions of 17 U.S.C.  § 504(c)(1), the Court may assess damages between $ 250.00 and $ 10,000.00 for unintentional infringement. Therefore, the Court in the exercise of its discretion hereby finds that Defendants are liable to Plaintiffs in the sum of $ 500.00, plus all costs of court, for their infringement of the copyright laws."
6811b8e6af06ea2cad500ba4,N/A,"Claimant's (i.e., Kamakazi's) suggestion that it should recover an award of statutory damages for the infringement of ""45 separate' copyrights is a further attempt to unjustly compound its recovery. The Copyright Laws specifically treat compilations and derivative works such as the Manilow Folios as ""one work' for purposes of an award of statutory damages (17 U.S.C. § 504(c)); Nimmer, Copyright § 14.04(E), pp. 14-32, 14-33."
6811b8eaaf06ea2cad500ba5,N/A,"Because of the difficulty of proving the precise nature of the harm to appellants, statutory damages may be appropriate.  17 U.S.C. § 504(c)."
6811b8eaaf06ea2cad500ba6,32235,"In order to fulfill these purposes of the copyright act, plaintiff is entitled to a statutory damage award in this case of $32,235.00, which amount the Court in its discretion considers just."
6811b8edaf06ea2cad500ba7,N/A,"Robbins successfully moved to have its rights under the Agreement determined in arbitration according to its terms, and upon the conclusion of the arbitration the court confirmed the arbitrator's award granting statutory damages to Kamakazi against Robbins for printing and selling copies of Manilow's compositions in violation of the terms of the Agreement."
6811b8edaf06ea2cad500ba8,250000,"The arbitrator found that Robbins wilfully continued to sell ""personality folios"" in violation of 25 copyrights owned by Kamakazi, and he awarded Kamakazi statutory damages of $10,000 per copyright infringed under 17 U.S.C. § 504(c)."
6811b8efaf06ea2cad500ba9,4000,"Ordered that plaintiffs, Wiliam E. and Clare F. Marling have and recover of and from defendant, Al Ellison, the sum of Four Thousand Dollars ($4,000.00), statutory damages, plus their costs herein expended."
6811b8f0af06ea2cad500baa,30000,"After considering the evidence of plaintiff's loss and defendants' willful infringement, I conclude that statutory damages should be awarded in the sum of $30,000."
6811b8f2af06ea2cad500bab,2000,"7.Jevs is entitled to statutory copyright damages in the amount of $2,000 under 17 U.S.C. § 504(c)(1) for Pesco's infringement on Jevs' copyright for the VITAS instruction manual."
6811b8f4af06ea2cad500bac,5000,"During the visit of September 27, it was noted that the following compositions were performed by a band: ""Blue Eyes Crying In The Rain"", ""Bad, Bad Leroy Brown"", and ""Tulsa Time"". On the visit of August 1-2, 1981, the agents noted that live renditions were given of the following songs: ""Peaceful Easy Feeling"", ""Me and You and a Dog Named Boo"", ""Tulsa Time"", ""Orange Blossom Special"", and ""Blue Eyes Crying In The Rain"". Taking all of these elements into account, the Court concludes that an award of $625 for each of the infringing acts is just and equitable."
6811b8f6af06ea2cad500bad,N/A,"Plaintiffs are entitled to statutory damages of $250.00 for each copying and performance infringement committed by BOCES, as described herein pursuant to 17 U.S.C. §§ 1(a) and 1(d)."
6811b8f7af06ea2cad500bae,30000,"The Magistrate, however, properly denied this request on the ground that the $30,000 in statutory damages awarded by this Court in the September 16 Opinion and Order afforded an adequate remedy."
6811b8f9af06ea2cad500baf,20000,"Statutory damages in the sum of $10,000 will be awarded for the infringements of copyright No. VA 63-198 and in the additional sum of $10,000 for the infringements of copyright No. VA 63-200."
6811b8faaf06ea2cad500bb0,N/A,N/A
6811b8fbaf06ea2cad500bb1,50000,"Plaintiff has also moved to have the Court award statutory damages to plaintiff in the amount of $50,000."
6811b8fcaf06ea2cad500bb2,N/A,"We vacate the directed verdict on damages, which should not have been taken from the jury, and remand for one of two courses of action: election of statutory damages, which may be awarded by the court in its discretion, 17 U.S.C. § 504(a)(2),    (c); or a new trial limited to the issue of actual damages plus infringer's profits, 17 U.S.C. § 504(a)(1), (b)."
6811b8fdaf06ea2cad500bb4,10000,"Accordingly, we respectfully recommend that plaintiff be awarded a judgment in the amount of $10,000."
6811b901af06ea2cad500bb7,9500,"Plaintiff, Broadcast Music, Inc., shall recover of the defendants, Gus Dendrinos, a/k/a Gerasimos Dendrinos, Adrienne Dendrinos, partners d/b/a The Chandelier Restaurant and Lounge; and Dendrinos, Inc., jointly and severally, statutory damages in the amount of Five Hundred Dollars ($500,00) for each of the nineteen (19) musical composition copyrights infringed, that is,    a total of Nineteen Thousand Dollars ($9,500.00), 17 U.S.C.  § 504(c), plus interest thereon as provided by law."
6811b905af06ea2cad500bb8,N/A,N/A
6811b905af06ea2cad500bb9,4800,"The court, on May 26, rendered a brief ""Memorandum Decision and Order"" stating that it had considered the entire record and that it felt constrained to award $1,200 for each copyright invaded, in addition to costs and attorney's fees. In this case the court had undisputed evidence of violations as to four copyrighted items on January 24, 1982."
6811b90caf06ea2cad500bba,N/A,"Section 504(c)(2) of the 1976 Act provides for a reduction in statutory damages when an infringer proves he ""was not aware and had no reason to believe that his or her acts constituted an infringement of copyright,"" but the statute establishes no general exemption for those who believe their infringing activities are legal."
6811b90daf06ea2cad500bbb,50000,"Plaintiff also seeks damages of $50,000, the statutory maximum, or damages calculated on the basis of lost revenues, lost goodwill and profit to defendant, together whith fees."
6811b90daf06ea2cad500bbc,105000,"The magistrate recommended an award of damages pursuant to 17 U.S.C. § 504(c) in the amount of $105,000."
6811b90eaf06ea2cad500bbd,5250,"Alleging that the copyright infringement was knowing and purposeful, plaintiffs seek an award of damages in the amount of $ 750 for each infringement, which is treble the minimum statutory damages of $ 250, for a total of $ 5,250."
6811b90faf06ea2cad500bbe,60000,"The District Court awarded damages of $60,000 to plaintiff for copyright infringement."
6811b910af06ea2cad500bbf,20000,"Therefore, this Court finds that plaintiff should be awarded $20,000.00 as its statutory damages."
6811b911af06ea2cad500bc0,N/A,N/A
6811b912af06ea2cad500bc1,N/A,N/A
6811b913af06ea2cad500bc2,3000,"FURTHER, defendant Samuel Abdalla is hereby ordered to pay to plaintiff, Broadcast Music, Inc., the sum of $3,000.00 in statutory damages, plus plaintiff's costs expended herein."
6811b914af06ea2cad500bc3,2000,"In light of the small-business nature of defendants' operation, the Court determines in its discretion that the minimum statutory award of $250.00 per infringement, or $2,000.00 total, as well as the assessment of costs and attorney fees to be determined at some future time by the Court, will adequately compensate plaintiff and deter future non-compliance with the Copyright Act by the defendants."
6811b915af06ea2cad500bc4,3250,"In this case, ""The Best of Laurel & Hard"" album incorporated soundtracks licensed to Feiner & Co. thereby resulting in thirteen infringing acts. The court has decided to set damages at the minimum figure of $250 per infringing act."
6811b917af06ea2cad500bc5,1450000,"If plaintiffs elect statutory damages,    the total award will be $ 1,450,000."
6811b918af06ea2cad500bc6,50000,"Plaintiff is awarded statutory damages in the amount of $ 50,000 and attorneys' fees in the amount of $ 8,062.50."
6811b919af06ea2cad500bc7,35500,"First, he recalculated statutory damages as the maximum $5,000 times the seven copyrights infringed by actual sales plus the $250 minimum times the two copyrights infringed only by display of sample animals, for a total of $35,500."
6811b919af06ea2cad500bc8,160000,"In view of the defendants knowing and willful infringement of numerous copyrights owned by B.M.I., plaintiff is entitled to the maximum statutory damages for each of defendants' sixteen acts of infringement. Accordingly, plaintiff is awarded damages in the amount of one hundred and sixty thousand dollars ($160,000)."
6811b91baf06ea2cad500bc9,100000,"...for a total of $100,000.00..."
6811b91faf06ea2cad500bca,N/A,N/A
6811b920af06ea2cad500bcb,N/A,N/A
6811b922af06ea2cad500bcc,9000,...the Court finds that an award of $500 for each of the eighteen infringing performances is appropriate.
